datetime,symbol,open,high,low,close,volume
2/15/2023 11:50,OANDA:EURUSD,1.07111,1.07128,1.07096,1.07102,647
2/15/2023 11:55,OANDA:EURUSD,1.07102,1.07198,1.07096,1.07192,702
2/15/2023 12:00,OANDA:EURUSD,1.07192,1.07218,1.07173,1.07196,617
2/15/2023 12:05,OANDA:EURUSD,1.07196,1.07197,1.07163,1.0717,547
2/15/2023 12:10,OANDA:EURUSD,1.0717,1.07232,1.07157,1.07222,530
2/15/2023 12:15,OANDA:EURUSD,1.07222,1.0727,1.07194,1.0726,644
2/15/2023 12:20,OANDA:EURUSD,1.0726,1.07288,1.07254,1.07278,484
2/15/2023 12:25,OANDA:EURUSD,1.07278,1.0728,1.07231,1.07243,530
2/15/2023 12:30,OANDA:EURUSD,1.07243,1.07244,1.0718,1.07214,565
2/15/2023 12:35,OANDA:EURUSD,1.07214,1.07264,1.07174,1.07246,390
2/15/2023 12:40,OANDA:EURUSD,1.07246,1.07288,1.0724,1.07244,443
2/15/2023 12:45,OANDA:EURUSD,1.07244,1.07282,1.07201,1.07217,467
2/15/2023 12:50,OANDA:EURUSD,1.07217,1.0722,1.07166,1.07198,398
2/15/2023 12:55,OANDA:EURUSD,1.07198,1.0725,1.07187,1.07234,445
2/15/2023 13:00,OANDA:EURUSD,1.07234,1.07276,1.07225,1.07264,420
2/15/2023 13:05,OANDA:EURUSD,1.07264,1.073,1.07245,1.0729,500
2/15/2023 13:10,OANDA:EURUSD,1.0729,1.073,1.07258,1.07271,488
2/15/2023 13:15,OANDA:EURUSD,1.07271,1.07298,1.07249,1.07262,383
2/15/2023 13:20,OANDA:EURUSD,1.07262,1.07282,1.07254,1.07273,443
2/15/2023 13:25,OANDA:EURUSD,1.07273,1.07276,1.0724,1.07258,532
2/15/2023 13:30,OANDA:EURUSD,1.07258,1.07266,1.07244,1.07253,548
2/15/2023 13:35,OANDA:EURUSD,1.07253,1.07303,1.07252,1.07286,390
2/15/2023 13:40,OANDA:EURUSD,1.07286,1.07328,1.07274,1.07322,516
2/15/2023 13:45,OANDA:EURUSD,1.07322,1.07332,1.07286,1.07286,389
